Customer_Id,Age,Monthly_Income,Credit_Score,Credit_Score_Band,Loan_Amount,Interest_Rate,Loan_Term,Loan_Type,Debt_Income_Ratio,Repayment_Status,Transaction_Id,Gender,Transaction_Amount,Transaction_Type,Transaction_Date,Transaction_Year,Transaction_Month,Product_Id,Product_Name,Interaction_Date,Interaction_Year,Interaction_Day_Name,Interaction_Type,Transaction_Frequency
C087,39,48854.66,663,Fair,233783.27,2.88,60,Business,4.785280871875886,0,8eb5bbc0-eaa6-45fb-a7ea-2bae73e557ac,Female,103.89,Deposit,2024-02-21,2024,2,P010,Retirement Plan,2024-12-04,2024,Wednesday,Viewed,1
C06,58,144711.91,539,Poor,720159.21,3.5,24,Business,4.976502694215009,0,fbaad912-edb8-47de-8e2c-e85f048b6516,Female,1105.28,Deposit,2024-12-16,2024,12,P034,Stock Investment,2024-07-09,2024,Tuesday,Purchased,7
C022,30,51031.65,621,Fair,147974.79,1.27,48,Mortgage,2.8996669713795264,1,69aef74f-4262-4631-9262-087b0f6650fd,Male,1136.82,Withdrawal,2024-08-03,2024,8,P019,Home Improvement Loan,2024-07-10,2024,Wednesday,Clicked,2
C06,68,177222.68,699,Good,619489.1,4.56,60,Personal,3.495540751330473,0,9e5f4821-0654-4122-a0e4-7ca4f47586b4,Male,1422.9,Deposit,2024-12-21,2024,12,P022,Short-Term Loan,2024-10-12,2024,Saturday,Purchased,7
C04,68,119161.03,603,Fair,274237.35,12.69,60,Personal,2.3014013054435662,0,44f47550-0598-4b92-ad1a-6ec8bf9b0154,Female,1220.72,Withdrawal,2024-07-06,2024,7,P020,Gold Loan,2024-05-08,2024,Wednesday,Clicked,8
C018,43,191322.49,561,Poor,546368.16,6.3,24,Auto,2.8557445598789775,0,0855fcba-94cb-4de5-a7e9-7ac3d1df1d34,Male,1643.06,Deposit,2024-03-08,2024,3,P036,International Investment,2024-11-08,2024,Friday,Viewed,9
C066,70,62845.21,606,Fair,926545.29,13.48,12,Business,14.743292129980949,0,d3af1768-3df5-48e6-b34b-7096244cb5c2,Male,21.33,Withdrawal,2024-05-31,2024,5,P048,Property Investment,2024-02-08,2024,Thursday,Viewed,4
C095,29,142828.99,573,Poor,500418.53,12.46,60,Auto,3.5036201684265924,1,db750391-7518-4df6-84a1-cb38a1b222c9,Male,6.61,Withdrawal,2024-01-01,2024,1,P045,Pension Plan,2024-11-11,2024,Monday,Viewed,9
C097,65,101718.5,592,Fair,741299.21,6.86,12,Auto,7.287752080496665,0,610a24a4-f8cf-424f-b82f-7f8b9f11c6e5,Male,1199.02,Withdrawal,2024-11-22,2024,11,P02,Checking Account,2024-12-02,2024,Monday,Viewed,5
C022,46,179871.52,600,Fair,589395.63,11.25,24,Mortgage,3.2767590444557317,0,63ea892c-6084-401c-8ef4-f78362a1c24d,Female,737.13,Withdrawal,2024-02-18,2024,2,P028,Debt Consolidation Loan,2024-12-19,2024,Thursday,Purchased,2
C026,56,167765.37,819,Excellent,602955.89,10.01,24,Business,3.5940426203572287,0,d2144f58-1a72-4072-9d1f-bba1959aade1,Male,766.68,Deposit,2024-03-14,2024,3,P049,Auto Insurance,2024-07-25,2024,Thursday,Viewed,10
C02,40,68971.71,743,Excellent,785616.42,13.27,60,Business,11.390415287659245,0,18b75c26-0988-4344-ae2f-4ca9cf7a34a6,Female,509.2,Withdrawal,2024-05-31,2024,5,P014,Certificate of Deposit,2024-01-04,2024,Thursday,Purchased,10
C093,44,141185.81,688,Good,134632.8,7.91,24,Personal,0.9535859163183609,0,aad3ab3d-e306-4645-ae2d-839c3f1e97c0,Female,1955.41,Deposit,2024-01-05,2024,1,P03,Credit Card,2024-04-14,2024,Sunday,Viewed,8
C041,61,124258.36,386,Poor,495557.5,8.23,12,Education,3.9881220064388425,0,6e94d779-d6a7-4c3f-adcf-2a163d995968,Male,208.15,Deposit,2024-02-27,2024,2,P038,Recurring Deposit,2024-11-26,2024,Tuesday,Purchased,4
C070,27,65756.01,795,Excellent,896252.95,11.19,48,Mortgage,13.629977700897607,0,959d8bcc-8ca0-4ab2-93ae-d4b99e0766e5,Male,1375.66,Deposit,2024-06-13,2024,6,P040,Gold Investment,2024-12-02,2024,Monday,Viewed,10
C075,63,163636.25,697,Good,658992.5,14.7,48,Business,4.027179185541101,0,42e4084c-fa5f-4b9e-972c-b24cb72fef3f,Male,664.42,Withdrawal,2024-12-06,2024,12,P010,Retirement Plan,2024-09-14,2024,Saturday,Viewed,1
C098,24,48744.85,812,Excellent,773327.09,7.24,60,Personal,15.86479576816833,0,47a19d73-3f7c-480a-9eda-f5328f749750,Male,199.14,Withdrawal,2024-09-15,2024,9,P044,Insurance Savings,2024-11-26,2024,Tuesday,Purchased,6
C025,56,195102.45,641,Fair,433291.54,7.8,48,Mortgage,2.2208411016878564,0,012a0e25-5419-4cbc-bc32-3936bc9fa79b,Female,509.89,Withdrawal,2024-02-01,2024,2,P05,Home Loan,2024-06-03,2024,Monday,Clicked,4
C034,53,151529.07,771,Excellent,657824.82,8.14,48,Business,4.341245016550289,0,9e02499b-0257-4c3d-8909-8cce0d52f5fc,Female,1608.39,Deposit,2024-09-21,2024,9,P014,Certificate of Deposit,2024-04-01,2024,Monday,Viewed,10
C059,20,60309.44,601,Fair,307836.97,4.73,60,Mortgage,5.10429163328328,0,bc7eaa45-ca1b-4735-b68b-9a55e8eee3ff,Female,682.43,Deposit,2024-02-12,2024,2,P07,Business Loan,2024-12-15,2024,Sunday,Clicked,3
C048,47,104698.03,639,Fair,377042.78,14.86,24,Mortgage,3.6012404435880985,0,227c66ca-4e60-4583-a019-8c8eab758fa8,Female,1734.29,Deposit,2024-06-14,2024,6,P047,Healthcare Savings,2024-04-03,2024,Wednesday,Purchased,5
C07,40,68440.77,413,Poor,866256.84,13.63,48,Business,12.657029428511688,0,5ff063f1-0b48-4b3f-bbb2-4a81806aa297,Male,870.41,Withdrawal,2024-06-15,2024,6,P047,Healthcare Savings,2024-11-09,2024,Saturday,Purchased,10
C086,24,99178.17,649,Fair,921688.35,13.56,48,Mortgage,9.29325828456,0,c75acd72-31c0-4a40-96bd-7b9c5fc5de33,Male,1277.92,Withdrawal,2024-11-05,2024,11,P021,Cash Credit,2024-03-01,2024,Friday,Purchased,9
C014,27,32747.77,690,Good,864613.84,9.02,24,Education,26.402220364928663,0,5f7f3ecd-d5cc-4d9d-b4f1-09c3ff5480cd,Male,1684.11,Deposit,2024-08-13,2024,8,P048,Property Investment,2024-09-24,2024,Tuesday,Purchased,5
C05,53,60171.57,559,Poor,763973.18,9.28,60,Business,12.696580461503665,1,677323ea-1699-4e07-9d08-f35258ee0ca3,Male,1092.79,Deposit,2024-12-16,2024,12,P029,Small Business Loan,2024-10-29,2024,Tuesday,Clicked,4
C056,50,123219.08,642,Fair,147393.94,12.68,48,Business,1.1961941283768716,0,fe7b1d89-baf8-4cf2-b8b3-9ae1477792bf,Female,178.72,Withdrawal,2024-10-01,2024,10,P05,Home Loan,2024-04-01,2024,Monday,Viewed,9
C043,21,114517.45,637,Fair,754204.16,7.19,12,Business,6.585932187627301,0,a3b09d23-5c71-4772-a6ab-654fe090056c,Male,982.04,Deposit,2023-12-25,2023,12,P045,Pension Plan,2024-06-26,2024,Wednesday,Clicked,8
C06,64,78993.36,361,Poor,639210.75,4.54,60,Education,8.091955450432796,0,d366c14b-74a5-42ab-a544-203319fd96f0,Female,307.57,Withdrawal,2024-04-02,2024,4,P02,Checking Account,2024-08-24,2024,Saturday,Purchased,7
C016,42,70415.4,394,Poor,154219.35,3.47,12,Education,2.1901366746478756,0,a535cba7-032f-4294-8758-07ce2c684718,Male,682.98,Withdrawal,2024-05-07,2024,5,P031,Technology Loan,2024-02-21,2024,Wednesday,Purchased,3
C057,48,72917.01,572,Poor,633304.35,5.86,48,Personal,8.685275904758026,0,51fa1448-488b-4f53-a394-c562fabb7b48,Female,135.25,Deposit,2024-05-07,2024,5,P015,Home Equity Line,2024-09-21,2024,Saturday,Clicked,4
C044,25,116925.24,444,Poor,252182.4,4.27,48,Auto,2.1567832574044745,0,fc9a4d17-6b5a-497e-85ff-9eac2bd5bca3,Female,718.96,Withdrawal,2024-01-04,2024,1,P050,Savings Account,2024-12-12,2024,Thursday,Purchased,9
C092,37,189253.09,545,Poor,835602.22,4.59,60,Business,4.4152632857936425,0,210abe15-9e4c-4b98-abcd-9f32deaa32a4,Male,974.43,Deposit,2024-07-06,2024,7,P03,Credit Card,2024-04-04,2024,Thursday,Clicked,8
C042,52,166667.03,743,Excellent,875489.93,3.37,60,Mortgage,5.25292812861668,0,f30080e0-7868-4780-9ed7-34cae910dc77,Male,166.83,Withdrawal,2024-08-22,2024,8,P050,Savings Account,2024-07-21,2024,Sunday,Purchased,1
C09,21,160988.97,384,Poor,486120.67,9.83,12,Mortgage,3.019589913520162,0,512abf5b-4f92-4f19-a774-bf2a586754dd,Male,1786.39,Deposit,2024-08-29,2024,8,P017,Business Credit Line,2024-12-17,2024,Tuesday,Viewed,3
C020,67,21354.79,635,Fair,420195.77,13.22,24,Auto,19.6768860756767,1,ecd3acb5-707c-48b0-a58d-f1c69f44177f,Female,1372.99,Withdrawal,2024-11-21,2024,11,P044,Insurance Savings,2024-08-09,2024,Friday,Viewed,7
C053,53,155245.59,379,Poor,282224.85,9.04,36,Education,1.8179250695623623,0,fa117688-7cb1-40f7-9fc0-28d2445fc3df,Female,758.32,Deposit,2024-09-29,2024,9,P028,Debt Consolidation Loan,2024-03-03,2024,Sunday,Viewed,5
C055,35,129359.6,685,Good,189582.13,3.33,48,Business,1.4655435700172232,0,04efd61f-8044-432d-85e7-b1cb1cd6fd27,Female,1641.87,Withdrawal,2024-01-08,2024,1,P016,Mortgage Refinance,2024-08-31,2024,Saturday,Clicked,9
C071,23,88091.86,403,Poor,504985.16,3.07,48,Auto,5.7324837958921515,0,fa3e5e05-421d-4f58-a4d3-01d2f4097d54,Female,40.28,Withdrawal,2024-04-12,2024,4,P042,High-Yield Savings Account,2024-09-17,2024,Tuesday,Clicked,4
C046,57,158851.5,473,Poor,499129.13,5.16,12,Education,3.142111531839485,0,b1526ce2-65a6-4aae-bb6c-bbb579875bbe,Female,162.18,Withdrawal,2024-10-21,2024,10,P03,Credit Card,2024-07-31,2024,Wednesday,Purchased,7
C083,19,171868.22,344,Poor,418603.72,12.8,36,Education,2.4356086308451905,0,e327fa84-06f8-4faf-a923-0d4b78902a53,Female,114.05,Withdrawal,2024-09-03,2024,9,P020,Gold Loan,2024-12-01,2024,Sunday,Viewed,9
C099,28,170457.2,786,Excellent,439860.87,6.58,12,Personal,2.5804769173728066,0,f6aeaa55-ccc3-4f61-ad2b-aa7d07d5c8a6,Male,944.42,Deposit,2024-03-15,2024,3,P045,Pension Plan,2024-03-09,2024,Saturday,Purchased,7
C045,62,93721.35,315,Poor,216230.82,11.21,12,Personal,2.307167150281126,1,c29e59d0-56df-433a-9a58-6df8fdf70b30,Female,1077.56,Deposit,2024-05-31,2024,5,P041,Retirement Savings,2024-05-02,2024,Thursday,Viewed,4
C04,33,192082.07,787,Excellent,402373.67,2.36,36,Education,2.0948007796875574,0,6fe715c3-9cd8-43d9-92e8-f1a2bdfd0df2,Male,818.46,Withdrawal,2024-06-25,2024,6,P08,Student Loan,2024-03-21,2024,Thursday,Clicked,8
C068,56,141973.99,481,Poor,473421.15,9.28,48,Education,3.334562549097902,0,7355d459-f08e-4336-960f-4c20673dbe1d,Female,1418.45,Withdrawal,2024-05-18,2024,5,P032,Education Savings Plan,2024-04-09,2024,Tuesday,Purchased,10
C067,58,132400.16,741,Excellent,640523.28,14.95,48,Auto,4.83778327760329,0,00e06600-9c18-44d9-a260-a2b7bc344356,Female,1763.63,Withdrawal,2024-12-09,2024,12,P036,International Investment,2024-03-16,2024,Saturday,Clicked,1
C07,44,121185.13,436,Poor,723969.21,2.27,48,Mortgage,5.974076274869697,0,187203ca-eef1-4614-a86c-bef096c69102,Female,492.79,Deposit,2024-12-14,2024,12,P035,Real Estate Investment,2024-05-06,2024,Monday,Purchased,10
C092,63,102780.5,454,Poor,617220.7,2.72,48,Mortgage,6.005231537110638,0,192b3ffe-030a-4243-9071-587850f1a07e,Male,532.25,Deposit,2024-05-09,2024,5,P050,Savings Account,2024-07-26,2024,Friday,Purchased,8
C090,50,191211.65,362,Poor,438782.75,7.85,48,Personal,2.29474903856538,0,09f34e77-fc2a-466c-ab00-5840988ceb4c,Male,1332.22,Withdrawal,2024-01-04,2024,1,P047,Healthcare Savings,2024-08-20,2024,Tuesday,Clicked,6
C011,21,134970.25,372,Poor,254421.45,5.97,12,Education,1.885018735610255,0,0fef3f3f-8e53-49e4-bc58-9042a98cb739,Female,453.31,Withdrawal,2024-10-23,2024,10,P029,Small Business Loan,2024-08-26,2024,Monday,Viewed,1
C047,39,162136.31,698,Good,426435.62,4.61,48,Mortgage,2.6301056191546484,0,83cb31eb-3fd2-4084-afe8-62a34f89a08e,Female,947.79,Withdrawal,2024-12-07,2024,12,P022,Short-Term Loan,2024-10-23,2024,Wednesday,Viewed,8
C032,68,122723.37,389,Poor,185570.82,1.14,48,Business,1.5121066183237961,0,3ff25661-de34-44ac-8de3-2dbf37404a7e,Female,1846.6,Withdrawal,2024-12-21,2024,12,P035,Real Estate Investment,2023-12-27,2023,Wednesday,Purchased,9
C0100,32,101860.23,807,Excellent,574202.27,2.54,48,Personal,5.637158584856917,0,7e45c96f-695e-4d87-9caf-043c4287a189,Female,1756.86,Withdrawal,2024-06-07,2024,6,P034,Stock Investment,2023-12-26,2023,Tuesday,Viewed,4
C048,38,93647.97,845,Excellent,873045.82,1.47,36,Education,9.322634756524888,0,bb193bca-abe1-4103-9f84-8f6e628ad1ba,Female,1414.47,Withdrawal,2023-12-24,2023,12,P020,Gold Loan,2024-12-07,2024,Saturday,Purchased,5
C093,49,155826.62,669,Fair,103034.71,11.58,24,Personal,0.6612137900443456,0,29d82210-8788-415c-8ec2-7eb1aef9b4d0,Male,292.9,Withdrawal,2024-07-19,2024,7,P014,Certificate of Deposit,2024-07-09,2024,Tuesday,Purchased,8
C056,56,194882.82,653,Fair,899613.87,10.57,24,Mortgage,4.616178429684053,0,82ce4805-712b-40b8-baa4-ed9dbfb5e1f1,Male,829.28,Deposit,2024-02-27,2024,2,P017,Business Credit Line,2024-06-30,2024,Sunday,Purchased,9
C090,43,73453.45,479,Poor,676218.07,10.41,48,Education,9.206076365371537,0,debd9db9-5393-491c-adbb-9b4f39f58acc,Male,1935.76,Deposit,2024-02-08,2024,2,P013,Bond,2024-09-18,2024,Wednesday,Purchased,6
C074,60,83006.96,672,Good,291737.44,4.67,36,Business,3.514614196207161,0,aa35f730-4bb5-421a-a6f6-00288c18da6a,Male,852.61,Deposit,2024-09-24,2024,9,P07,Business Loan,2024-04-11,2024,Thursday,Purchased,4
C097,19,171679.36,412,Poor,788032.04,3.3,12,Business,4.590138500050327,0,45eca72e-1ddd-42f4-90c8-7fc46000c9a8,Male,1053.14,Deposit,2024-05-06,2024,5,P012,Mutual Fund,2024-02-25,2024,Sunday,Clicked,5
C074,63,165211.29,678,Good,214076.03,6.41,48,Education,1.295771190939796,0,a71b791e-60f7-4ed5-83e5-b7c67f6eefdb,Male,261.67,Deposit,2024-09-24,2024,9,P026,Emergency Loan,2024-11-30,2024,Saturday,Clicked,4
C048,42,196282.36,701,Good,587330.75,9.56,24,Business,2.9922747515365113,0,87186d45-a5a5-46d0-9b9f-10c119ada1ca,Female,480.29,Withdrawal,2024-09-29,2024,9,P01,Savings Account,2024-08-21,2024,Wednesday,Clicked,5
C051,43,186183.05,571,Poor,116721.7,14.54,36,Personal,0.6269190455307291,0,f76e1386-f433-4aca-a578-3374e4263c46,Female,1498.61,Withdrawal,2024-06-07,2024,6,P07,Business Loan,2024-08-30,2024,Friday,Viewed,1
C013,22,100814.91,417,Poor,406092.77,7.02,12,Mortgage,4.028102291615397,0,da14922a-2b5a-40d7-af9a-603b3fa655ad,Female,1041.88,Deposit,2024-04-30,2024,4,P025,Medical Loan,2024-05-01,2024,Wednesday,Clicked,4
C078,24,128599.8,322,Poor,585632.92,12.68,24,Mortgage,4.553917813246988,1,23eb6d67-253f-4976-9045-e404eb0ca6c6,Female,71.79,Deposit,2024-08-26,2024,8,P047,Healthcare Savings,2024-02-28,2024,Wednesday,Clicked,1
C053,29,188717.94,473,Poor,721905.93,2.93,12,Personal,3.825316925354315,0,243f2938-8e89-4498-992f-9bd0793949eb,Female,694.09,Deposit,2024-03-02,2024,3,P02,Checking Account,2024-01-17,2024,Wednesday,Purchased,5
C086,53,179749.96,406,Poor,779047.5,3.6,12,Personal,4.334062160570161,0,bb558a3b-8200-4b85-a832-ea6c1b93fcd7,Female,992.58,Deposit,2024-09-24,2024,9,P038,Recurring Deposit,2024-07-19,2024,Friday,Clicked,9
C055,66,151596.19,385,Poor,925742.36,4.89,36,Mortgage,6.10663341868948,0,5b4d7cdd-07ac-4dd6-baaa-44e7c894b2a2,Male,1435.8,Deposit,2024-08-07,2024,8,P04,Personal Loan,2024-03-05,2024,Tuesday,Viewed,9
C045,18,77508.45,544,Poor,869314.46,6.15,60,Business,11.215737896964782,0,0021502b-79d0-46a1-9ae7-972ef9a81874,Male,210.56,Withdrawal,2024-06-04,2024,6,P017,Business Credit Line,2024-08-15,2024,Thursday,Clicked,4
C056,36,188808.92,767,Excellent,425745.63,4.43,48,Personal,2.254902098905073,0,98189f7e-0f37-4d55-8eba-a6418ed3acd9,Male,1915.79,Withdrawal,2024-05-19,2024,5,P014,Certificate of Deposit,2024-02-19,2024,Monday,Clicked,9
C059,69,119451.85,478,Poor,472593.73,8.9,36,Business,3.9563533758581384,0,6312c2ee-8984-496c-acba-b31242d1781d,Male,1406.64,Withdrawal,2024-12-10,2024,12,P019,Home Improvement Loan,2024-03-26,2024,Tuesday,Purchased,3
C020,45,78750.12,621,Fair,783116.3,13.42,24,Mortgage,9.944318815006252,0,cf45b3dc-1fdd-4a6e-bf99-13cf0dc83fdf,Female,1912.34,Deposit,2024-03-19,2024,3,P039,Loan Against Property,2024-04-26,2024,Friday,Viewed,7
C091,47,189632.92,732,Good,491308.82,10.97,12,Business,2.5908414003222644,0,c81c1be1-6ffc-490d-8814-d781ba3586d1,Female,1321.8,Withdrawal,2024-01-01,2024,1,P05,Home Loan,2024-04-08,2024,Monday,Clicked,7
C024,56,173951.38,803,Excellent,438669.03,11.92,48,Business,2.5217910314939727,0,5171095f-fc74-48b7-8fca-ab5bb3ccc398,Male,619.94,Withdrawal,2024-11-07,2024,11,P027,Holiday Loan,2023-12-29,2023,Friday,Purchased,3
C013,52,22354.68,313,Poor,553625.61,2.23,48,Auto,24.76553500206668,0,d7fcdb2a-07f0-4c3b-9d92-77d5a58ed276,Male,1064.63,Withdrawal,2024-06-08,2024,6,P08,Student Loan,2024-05-04,2024,Saturday,Clicked,4
C055,55,64666.87,527,Poor,507291.59,11.47,48,Business,7.84469064298303,1,dcf22f91-f4fd-46e1-bed0-9ef5816b3333,Female,1423.89,Withdrawal,2024-08-09,2024,8,P038,Recurring Deposit,2024-10-10,2024,Thursday,Clicked,9
C074,69,106304.53,827,Excellent,244211.82,13.89,24,Mortgage,2.2972851674335986,0,6d73f1b6-65ee-4ed2-ab31-d2ed8e2064ac,Male,1999.36,Deposit,2024-04-14,2024,4,P024,Travel Loan,2024-11-04,2024,Monday,Clicked,4
C049,68,49306.18,613,Fair,776171.92,4.75,12,Business,15.741879009892878,0,d04be194-bb10-4bca-8ce9-9aa1aa4f3776,Female,343.97,Withdrawal,2024-05-20,2024,5,P043,Money Market Account,2024-06-26,2024,Wednesday,Purchased,4
C011,61,143561.08,840,Excellent,669371.18,4.73,36,Education,4.662622905873933,0,60abeb21-ef0a-498b-bbea-75b7dfde50f6,Male,682.29,Withdrawal,2024-11-03,2024,11,P033,Wealth Management,2024-10-12,2024,Saturday,Purchased,1
C079,34,188090.56,566,Poor,407741.51,13.35,12,Business,2.167793588365094,0,d0abbe71-7a07-48b9-8ed7-9c1e507f7b77,Female,1859.49,Withdrawal,2024-12-02,2024,12,P011,Insurance Policy,2024-03-14,2024,Thursday,Clicked,9
C099,41,131547.42,600,Fair,945101.77,8.69,60,Auto,7.184494914457463,0,aafee3a7-4c6b-49eb-b922-314ba90763a5,Male,135.77,Deposit,2024-06-01,2024,6,P07,Business Loan,2024-10-10,2024,Thursday,Viewed,7
C093,46,106054.55,442,Poor,753773.25,10.67,12,Mortgage,7.107410761725923,0,ba137b5c-37d1-4195-b613-bd292e766004,Male,745.99,Deposit,2023-12-27,2023,12,P049,Auto Insurance,2024-01-03,2024,Wednesday,Purchased,8
C083,50,67440.22,465,Poor,499781.99,1.85,60,Business,7.410740801260731,1,8a824ea0-0919-4532-b23a-f26facc5585e,Male,382.87,Withdrawal,2024-02-24,2024,2,P012,Mutual Fund,2024-04-19,2024,Friday,Clicked,9
C028,48,66895.91,549,Poor,899661.89,14.45,36,Business,13.44868303607799,0,5c433385-d660-4916-ab6e-c42598836581,Male,958.36,Withdrawal,2024-03-04,2024,3,P07,Business Loan,2024-03-25,2024,Monday,Clicked,10
C012,60,155411.23,433,Poor,634617.14,1.92,12,Business,4.08347028718581,0,1c7c0682-2206-47f5-a027-c2a84b63cf8c,Female,1315.1,Deposit,2024-07-09,2024,7,P027,Holiday Loan,2023-12-29,2023,Friday,Clicked,3
C014,26,173230.48,809,Excellent,940976.11,5.93,12,Mortgage,5.4319315515375814,0,837de107-3075-4fe9-a302-709239fc3635,Male,494.26,Deposit,2024-10-20,2024,10,P017,Business Credit Line,2024-07-24,2024,Wednesday,Purchased,5
C011,38,75390.04,573,Poor,104175.88,11.45,12,Business,1.381825503740282,1,4afa989c-4fb8-4015-909f-97109fccf2d9,Male,1131.85,Deposit,2024-01-27,2024,1,P019,Home Improvement Loan,2024-07-18,2024,Thursday,Viewed,1
C02,47,134320.93,391,Poor,967940.65,2.7,60,Mortgage,7.206178888130093,0,b75e2977-8ba1-441e-8877-06525e64df4b,Male,1542.22,Deposit,2024-11-22,2024,11,P045,Pension Plan,2024-08-29,2024,Thursday,Viewed,10
C025,52,50604.97,566,Poor,327593.56,7.95,48,Business,6.473545187360055,0,211b1b72-c245-453b-91cd-1e299a0cbdff,Male,824.4,Withdrawal,2024-04-20,2024,4,P031,Technology Loan,2024-05-11,2024,Saturday,Clicked,4
C036,26,144878.74,329,Poor,631812.27,3.55,24,Auto,4.360972976435328,0,e264a669-bee7-4ef5-bfde-de77f12700d5,Female,1699.96,Withdrawal,2024-04-01,2024,4,P043,Money Market Account,2024-08-17,2024,Saturday,Purchased,7
C07,34,199887.86,743,Excellent,289133.23,12.01,24,Auto,1.4464771897602986,0,8ab8820e-fa96-4241-a20f-77ecfdc8cc88,Female,1930.65,Withdrawal,2024-04-20,2024,4,P018,Auto Refinance,2024-05-01,2024,Wednesday,Purchased,10
C091,47,176109.95,727,Good,974834.08,10.33,48,Education,5.535371965070684,0,02a2a9c7-f308-46ad-bb4f-ad546a3c1d9b,Female,1941.02,Deposit,2024-02-11,2024,2,P014,Certificate of Deposit,2023-12-22,2023,Friday,Viewed,7
C018,42,48081.44,568,Poor,931546.1,10.44,60,Personal,19.37433862213777,0,13477c06-59cb-405c-bb07-0f432afd6665,Male,1468.9,Deposit,2024-01-19,2024,1,P032,Education Savings Plan,2024-08-05,2024,Monday,Viewed,9
C054,25,175543.29,581,Fair,428843.08,8.46,24,Mortgage,2.442947719619474,0,5dd1e898-a17a-401a-b633-2865159a3b86,Male,642.19,Deposit,2024-08-17,2024,8,P016,Mortgage Refinance,2024-11-11,2024,Monday,Viewed,1
C022,63,177112.3,426,Poor,204315.96,6.51,24,Education,1.153595543618371,0,75e4765c-df81-4732-b2a1-0b50e522f831,Male,1148.75,Withdrawal,2024-10-01,2024,10,P07,Business Loan,2024-11-03,2024,Sunday,Purchased,2
C03,53,52415.3,309,Poor,158875.69,7.63,12,Business,3.031093783685298,1,74c02383-ba03-4cab-85de-42843b81510d,Female,1982.99,Deposit,2024-06-06,2024,6,P013,Bond,2024-04-12,2024,Friday,Purchased,8
C057,29,146297.71,591,Fair,877337.96,2.78,12,Personal,5.9969357004972945,0,e9832a76-e973-4ca7-94eb-982d410c674d,Female,518.07,Withdrawal,2024-10-21,2024,10,P024,Travel Loan,2024-11-23,2024,Saturday,Viewed,4
C02,23,131093.53,465,Poor,532787.88,1.72,36,Auto,4.0641813520468935,0,7c1755c8-d790-4b36-81ca-e93b87830480,Male,853.01,Withdrawal,2024-08-20,2024,8,P015,Home Equity Line,2024-03-27,2024,Wednesday,Clicked,10
